cod_individuo;num_apolices_ativas;tipo_cobertura;valor_premio_anual;tempo_cliente_dias;data_primeira_apolice;num_produtos_contratados;valor_cobertura_total;franquia_media;canal_aquisicao;pagamento_em_dia;desconto_aplicado_pct;metodo_pagamento
IND-221302943492;5;basica;R$ 1.136,43;1421.0;2022/7/11;1;138.995,17;R$ 519,12;Digital;N;;pix
IND-221302369606;3;Básica;868.15;3578.0;14 Aug 2016;1;R$ 122.720;771.41;Agente;1;0.127;Cartao_Credito
IND-221300893427;2;BASICA;R$2.458,71;3984.0;2015-07-05;4;149261.26;R$ 2.115,96;Telefone;Em dia;0.072;Cartão
IND-221300679194;1;premium;606,54;NA;2008-07-16;3;204633.27;  ;Digital;Em dia;0.049;DEB AUTO
IND-221303114307;2;Std;1445.23;1259.0;2022-12-20;2;119538.88;R$ 583,63;Agente;1;0.089;debito
IND-221302252815;1;basica;R$1.226,56;4382.0;2014/6/2;4;182.920,48;R$ 641,82;Digital ;OK;0.046;boleto
IND-221303302026;4;Básica;R$ 1.413,97;70.0;2026-03-23;-;R$ 118.758;R$1.565,22;Digital;OK;0.122;Boleto
IND-221300961525;4;basica;R$ 2.141,49;30.0;2026-05-02;1;R$ 102.382,23;2.008,92;Agente;  ;0.151;Debito_Auto
IND-221303222024;1;PREMIUM;R$1.079,34;2754.0;2018/11/16;3;104.742,42;1.195,29;Agente ;S;0.051;DEB AUTO
IND-221301856433;1;premium;R$1.157,26;5517.0;04-24-2011;5;210.631,62;R$ 1.356,72;Agente;OK;0.066;Boleto Bancario
IND-221303096821;3;Basic;R$1.210,41;2257.0;27 Mar 2020;1;R$ 110.007,37;1.369,56;Digital;Em dia;0.122;CC
IND-221300372391;1;premium;982.11;6596.0;05-10-2008;4;R$ 202.915;517.02;Digital;Sim;0.05;Pix
IND-221303173540;4;Básica;null;2330.0;14 Jan 2020;1;R$110.238,24;R$ 1.048,64;Digital;S;0.114;PIX
IND-221301296355;1;PREMIUM;R$ 1.363,86;3307.0;2017/5/12;5;R$ 168.829;R$ 904;Indicacao;Atrasado;0.078;Cartão
IND-221303226076;2;Padrao;1.375,72;5681.0;11 Nov 2010;2;133486.2;583.99;  Digital;OK;0.062;Debito_Auto
IND-221300331954;1;Plus;R$ 1.324,47;4745.0;2013/6/4;4;151.421,97;R$ 1.521,20;Digital;OK;0.017;PIX
IND-221302085331;5;PADRAO;R$ 1.886,70;1761.0;N/A;1;127762.33;2020.03;Agente;OK;0.221;Debito Automatico
IND-221300565190;1; ;1.195,17;5321.0;06 Nov 2011;5;151.569,32; ;Digital;1;0.053;Boleto Bancario
IND-221300473388;1;padrao;R$ 1.297,91;2825.0;06 Sep 2018;5;130790.06;1.315,47;Indicacao;1;0.027;#N/D
IND-221300795099;1;padrao;1.400,32;2908.0;06-15-2018;6;151.958,75;R$ 799,53;NA;1;0.049;Boleto Bancario
IND-221300466615;1;Std;R$ 1.116,13;5706.0;2010-10-17;5;R$ 261.659,82;770,49;Telefone;OK;0.025;Debito Automatico
IND-221300999853;1;Std;1051.6;2832.0;30 Aug 2018;4;R$ 162.922,46;600.44; Agente;OK;null;pix
IND-221303076891;3;Basica;R$1.219,50;737.0;2024-05-25;1;R$ 111.177,29;721.52;Indicacao;Atrasado;0.096;Debito Automatico
IND-221302815518;1;Basic;1.619,49;3641.0;12 Jun 2016;5;null;953,11;  Indicacao;Em dia;0.074;DEB AUTO
IND-221302141924;2;Std;1238.57;2426.0;10/10/2019;2;R$168.057,80;R$ 681,40;Indicacao;1;0.058;DEB AUTO
IND-221300382115;1;premium;952.62;3404.0;02-04-2017;4;156849.15;R$ 655;Agente  ;Sim;0.048;Cartao_Credito
IND-221301645073;?;?;R$1.494,43;317.0;2025/7/19;1;119.220,77;R$878,99;Agente ;Sim;0.152;CC
IND-221303193836;1;Prem.;1.226,06;#N/D;2011/11/23;4;126355.69;R$ 1.294,21;Indicacao;Sim;0.045;Cartao_Credito
IND-221301355166;1;Premium;R$ 1.266,35;3002.0;13 Mar 2018;4;169536.74;R$ 522,01;Agente;S;0.042;Boleto
IND-221301891914;3;Basic;R$1.383,17;1905.0;14/03/2021;1;85.884,68;R$1.330,42;Digital ;S;0.072;Cartão
IND-221300636539;4;basica;1342.61;317.0;19/07/2025;1;R$ 103.120,62;768.73;Agente;1;0.159;debito
IND-221303160114;1;Premium;R$ 1.035,80;4786.0;24/04/2013;3;137228.99;R$1.228,53;Indicacao;Sim;0.055;BOL
IND-221301364479;1;PREMIUM;R$ 1.064;6495.0;2008-08-19;4;R$ 202.366,86;R$ 453,81;  Agente;OK;0.078;Boleto
IND-221301009933;3;padrao;R$1.019,95;30.0;05-02-2026;1;124120.37;R$ 479,27;Digital;OK;0.112;Boleto
IND-221301869324;3;NA;R$ 1.639,75;30.0;02 May 2026;1;R$ 121.002,18;1671.47;Telefone;Sim;0.148;Debito Automatico
IND-221300993957;3;BASICA;1.762,07;1253.0;12-26-2022;1;96.694,57;R$1.686,03;Indicacao;OK;0.115;pix
IND-221303123958;1;Básica;3601.83;3745.0;29/02/2016;5;170309.41;1273.32;Digital;Sim;0.035;Boleto Bancario
IND-221301234497;2;BASICA;R$1.160,28;3588.0;2016/8/4;2;133.481,40;R$ 753;Indicacao;1;0.089;DEB AUTO
IND-221301119839;4;BASICA;R$1.678,49;1128.0;2023-04-30;#N/D;117.431,76;R$ 954,17;Telefone;Sim;0.154;Cartão
IND-221301615296;2;PADRAO;R$1.381,84;1390.0;08-11-2022;3;R$248.962,64;R$ 1.295,18;Agente  ;Sim;0.082;DEB AUTO
IND-221303173451;4;Básica;R$ 1.515;1413.0;19/07/2022;1;R$ 161.941,19;1158.63;Agente;Em dia;0.15;Cartão
IND-221301637371;1;Básica;R$ -100;1581.0;2022/2/1;2;R$ 138.690,34;614.17;Telefone;OK;0.025;CC
IND-221303033870;5;PREMIUM;991,22;3938.0;20/08/2015;1;R$128.684,16;540.15;Indicacao  ; ;0.177;Boleto
IND-221300273340;1;PREMIUM;?;2876.0;17 Jul 2018;4;138.950,61;R$ 617,70;Digital;S;0.076;Pix
IND-221302354753;1;Basica;896.17;3374.0;2017/3/6;4;R$174.786,16;533.68;Digital;S;0.063;Debito Automatico
IND-221302906004;5;Basic;R$ 1.275,26;30.0;02/05/2026;1;R$ 100.743,49;1.163,69;Agente;OK;0.228;DEB AUTO
IND-221303270577;4;Std;R$ 1.090;1302.0;07/11/2022;NA;R$ 135.939,92;R$ 582,82; Telefone;S;0.147;debito
IND-221301131462;1;BASICA;1.006,73;2272.0;2020-03-12;4;R$159.439,50;654,00;Digital;Atrasado;0.068;boleto
IND-221302782683;2;BASICA;R$1.045,91;3760.0;14/02/2016;2;137104.06;R$ 628,77;Digital;Sim;0.057;DEB AUTO
IND-221300646303;2;Padrão;R$ 1.305,11;4545.0;2013/12/21;2;138967.11;648.36;#N/D;Em dia;0.082;null
IND-221301985433;2;Padrao;1275.90;1586.0;27 Jan 2022;1;67388.79;1047.76;Agente;Em dia;0.097;pix
IND-221301627821;3;Basic;1331.37;30.0;2026/5/2;1;  ;724.56;Digital;Sim;0.148;Cartao
IND-221302221541;4;Padrão;R$ 1.264,45;30.0;02/05/2026;1;R$ 122.525,22;R$ 572,21;Digital;Em dia;0.154;Debito_Auto
IND-221301798236;4;basica;1.199,39;814.0;09/03/2024;1;R$ 142.929,41;1.391,99;Indicacao;S;0.159;debito
IND-221303231440;5;padrao;1412.23;1291.0;11-18-2022;  ;R$ 127.986,78;N/A; Digital;1;0.217;Boleto
IND-221302935196;1;Padrão;NA;5418.0;01/08/2011;4;102921.41;1264.32;Agente;1;0.038;Cartao
IND-221301652379;4;Basica;1.109,37;1250.0;2022-12-29;1;R$ 198.152,78;R$989,90;Agente  ;OK;0.177;Boleto Bancario
IND-221301612192;5;Basic;R$1.655,91;1055.0;07-12-2023;1;R$107.240,98;R$ 1.964,69;Indicacao;Sim;0.214;boleto
IND-221300814717;4;Prem.;;?;2017-02-14;1;180718.72;R$ 613,73;Telefone;Em dia;0.137;Debito Automatico
IND-221302762359;1;Plus;1003.66;3570.0;2016/8/22;null;R$ 154.496,48;439.68; Agente;OK;0.026;PIX
IND-221300606989;4;Padrao;R$1.267,59;922.0;11-22-2023;1;R$ 146.964,38;R$1.284,57;?;Em dia;0.187;pix
IND-221303166522;2;basica;R$ 802;501.0;16/01/2025;1;77.021,07;R$ 746,30;Agente;Em dia;0.082;Cartão
IND-221301902496;4;padrao;R$ 983,27;650.0;20 Aug 2024;1;R$112.942,02;R$940,60;Agente;1;0.133;Boleto
IND-221300604045;2;Plus;R$ 1.062,32;3523.0;08 Oct 2016;  ;R$ 135.476,52;R$ 577,93;Agente;Sim;0.084;debito
IND-221301604722;3;BASICA;R$ 1.467,68;4092.0;19/03/2015;1;125656.10;R$ 1.116;Agente;OK;0.144;Boleto
IND-221301127617;1;Padrão;R$886,29;3071.0;03/01/2018;4;183.295,32;NA;Digital;0;0.074;debito
IND-221301837173;3;basica;R$ 1.060,81;2392.0;11-13-2019;1;R$ 107.015,31;R$ 704,91;Digital;OK;0.116;DEB AUTO
IND-221300091159;3;Std;1.809,50;50.0;12 Apr 2026;2;191748.61;1273.02;Digital;Em dia;0.155;PIX
IND-221302905901;-;Padrão;1151.75;3374.0;2017/3/6;3;  ;R$ 944,83;Agente;1;0.121;Debito_Auto
IND-221300020779;2;PADRAO;970,41;2315.0;29/01/2020;3;R$ 212.405,05;R$ 477,80;Digital;1;0.077;DEB AUTO
IND-221301732104;1;Basica;R$572,91;1198.0;02-19-2023;1;75089.22;533.63;Agente ;1; ;Debito_Auto
IND-221300812401;4;?;968.87;2480.0;17 Aug 2019;1;143.588,85;R$ 488;N/A;Em dia;0.165;Debito Automatico
IND-221300365280;3;Basic;1198.27;3195.0;01 Sep 2017;1;R$ 68.463,43;R$ 685,62; Agente;Em dia;0.109;debito
IND-221302351925;2;BASICA;R$ 1.299,31;3507.0;2016-10-24;2;139.248,39;R$731,15;Telefone;S;0.075;debito
IND-221301814162;1;Plus;R$ 1.216,99;3380.0;;4;R$ 139.376;R$ 662,55;Agente;OK;0.058;Pix
IND-221301897798;2;premium;R$ 1.375,13;2403.0;2019/11/2;2;#N/D;R$ 1.235,37;Agente;Em dia;0.09;debito
IND-221302066567;1;premium;R$ 1.714,57;2705.0;04/01/2019;5;R$ 127.335;R$1.657,52;Agente;S;0.0;Debito Automatico
IND-221301576516;1;Prem.;966.65;4125.0;14 Feb 2015;4;R$ 186.592,31;R$1.090,16;Digital;1;0.021;PIX
IND-221302776324;4;Basic;R$ 958,15;1494.0;29 Apr 2022;1;137752.04;R$ 900,32;Digital;NA;0.189;Boleto
IND-221302916717;3;Padrão;865.16;1511.0;12/04/2022; ;NULL;672.69;Digital;OK;0.14;BOL
IND-221300616150;3;Basica;R$1.034,03;683.0;18/07/2024;1;R$112.283,27;R$ 580;Digital;0;0.144;debito
IND-221302985241;2;Padrão;R$ 1.201,84;3126.0;2017-11-09;2;163012.95;R$966,46;Agente;Em dia;0.116;CC
IND-221302973175;4;PADRAO;1.033,34;1516.0;04-07-2022;1;130805.32;R$ 1.222,97; Agente;OK;0.155;Debito_Auto
IND-221300194411;5;PADRAO;1.737,91;2233.0;2020-04-20;1;R$ 133.449,07;1.457,05;Agente;Em dia;0.194;debito
IND-221302898426;2;;R$ 1.307,34;3568.0;2016/8/24;2; ;577.61;Digital;OK;0.062;CC
IND-221302996334;2;BASICA;R$ 979,89;2462.0;04/09/2019;2;N/A;533.58;  Agente;S;  ;debito
IND-221303033074;3;Prem.;1911.16;3814.0;2015-12-22;2;R$ 156.987; ; Agente;Em dia;0.106;#N/D
IND-221300202004;2;PADRAO;R$ 1.369,15;4980.0;2012/10/12;2;R$156.636,10;587.75;Telefone;OK;0.106;boleto
IND-221302546325;3;Padrão;1203.33;-;2023/12/28;1;93727.42;R$ 579,92; Telefone;Atrasado;0.1;Cartao_Credito
IND-221300527107;1;Padrão;1.340,53;2756.0;11-14-2018;5;R$ 178.498,78;R$ 1.094,31;Digital;Em dia;0.045;BOL
IND-221302470336;3;premium;R$1.386,41;290.0;15/08/2025;1;R$79.349,94;R$ 719,49;Agente;-;0.155;DEB AUTO
IND-221303252982;2;Prem.;2.589,94;2319.0;2020-01-25;5;156.449,83;R$1.237,07;Agente;Sim;0.056;Cartao
IND-221303117255;2;padrao;R$ 1.095,00;2848.0;2018-08-14;2;124567.9;R$ 1.103,21;Indicacao;OK;0.066;PIX
IND-221302240373;4;BASICA;R$ 1.250;3348.0;  ;1;R$ 142.555,04;R$ 969,87;Agente;Atrasado;0.172;Cartao_Credito
IND-221302475905;4;basica;R$ 1.441,54;3322.0;2017/4/27;2;249468.37;732.28;Agente;S;0.136;PIX
IND-221302821859;5;N/A;R$ 1.670,55;630.0;09-09-2024;1;R$ 156.796,60;R$ 1.359,07;Agente;S;0.197;DEB AUTO
IND-221300072188;4;BASICA;R$ 1.179,92;;26 Mar 2025;1;113354.79;507,71;  Telefone;S;0.16;Boleto Bancario
IND-221300509959;2;padrao; ;1510.0;04-13-2022;2;null;642.52;Telefone ;1;0.086;pix
IND-221301423901;1;Prem.;R$ 1.159;3775.0;2016-01-30;4;R$ 164.216,93;580.38;Digital;1;0.058;DEB AUTO
IND-221303085017;4;Padrao;R$ 1.428,00;1760.0;06 Aug 2021;1;R$ 117.790,75;R$ 1.089;Agente  ;OK;0.152;Boleto Bancario
IND-221302743414;1;premium;R$ 614,49;2568.0;21/05/2019;2;129.536,22;R$ 692,37;Indicacao;Sim;0.051;Cartao_Credito
IND-221300864575;1;Prem.;1152.47;-;2014/8/23;5;R$ 226.305,91;R$ 1.056,10;  Agente;S;0.038;Debito Automatico
IND-221301818807;1;Padrao;1188.13;3536.0;2016-09-25;5;R$138.872,81;488,75;Digital;S;0.055;Debito Automatico
IND-221301081261;#N/D;PREMIUM;  ;4949.0;2012-11-12;4;R$161.053,64;R$1.078,88;Telefone;0;;Boleto Bancario
IND-221301707534;2;BASICA;null;1949.0;29 Jan 2021;2;R$177.600,01;R$ 998,30;Agente;1;0.037;BOL
IND-221300929932;1;Plus;1.575,36;4357.0;27/06/2014;5;153372.55;1.559,02;Agente;Nao; ;Cartão
IND-221300486400;4;Padrao;R$ 1.456;30.0;02/05/2026;1;N/A;R$ 785;Agente;N;0.169;boleto
IND-221303115753;3;Std;1212.09;1880.0;04-08-2021;1;R$ 80.808;R$1.303,30;Digital;S;0.13;debito
IND-221302885019;1;PREMIUM;R$ 1.165,24;4796.0;14 Apr 2013;-;R$155.045,89;1233.55;Indicacao;OK;;debito
IND-221302692626;3;Padrao;R$ 1.127,85;1572.0;10/02/2022;1;R$137.704,23;755,71;Digital;S;0.14;DEB AUTO
IND-221301495751;4;padrao;R$ 1.502,04;2447.0;09-19-2019;1;123.006,71;R$ 1.361,71;Indicacao;#N/D;0.151;?
IND-221301943473;3;padrao;R$ 1.615,20;1817.0;10 Jun 2021;1;74.439,48;1552.49;Agente;S;0.109;BOL
IND-221303212480;3;Std;R$ 1.583,27;635.0;2024/9/4;2;152105.64;757.96;Digital;OK;0.131;Debito_Auto
IND-221301844071;2;padrao;1.000,78;167.0;16/12/2025;2;171.092,84;886,73;Agente;OK;0.068;Boleto Bancario
IND-221302607147;3;padrao;1.128,84; ;2016/7/20;N/A;108050.06;1216.12;Indicacao;1;0.095;Boleto Bancario
IND-221302384818;3;Padrão;1725.93;1991.0;2020-12-18;1;R$90.760,67;R$1.835,67;Indicacao;Sim;0.119;pix
IND-221302841432;4;?;1024.64;2114.0;?;1;119.109,64;R$1.140,77;Telefone;S;0.149;PIX
IND-221302611189;4;PADRAO;R$1.159,29;553.0;11-25-2024;1;131810.1;713,03;Agente;1;0.149;debito
IND-221302942153;null;PADRAO;1.431,48;864.0;01-19-2024;1;102644.13;-;Indicacao;OK;?;Debito_Auto
IND-221301741662;2;basica;1266.41;934.0;2023/11/10;3;R$ 183.273,10;875,37;Telefone;Sim;0.043;Debito Automatico
IND-221302132481;1;Prem.;R$ 3.003,30;2132.0;30 Jul 2020;4;R$ 172.369;640,27;Digital;Em dia;0.03;Boleto Bancario
IND-221300770357;-;Padrão;1356.81;3211.0;16/08/2017;2;138.599,02;R$ 961;Agente;Em dia;0.103;CC
IND-221302283877;1;PREMIUM;R$ 1.030,26;3844.0;11-22-2015;3;133215.1;R$ 1.162,14;Digital;OK;0.034;Cartao
IND-221300901767;3;Basic;R$ 1.060,62;30.0;05-02-2026;1;R$ 106.103,71;599.74;Digital;1;0.115;debito
IND-221301893796;4;Basica;1.366,34;349.0;2025-06-17;1;R$ 139.724,46;R$ 1.118,72;Telefone;1;0.161;Boleto Bancario
IND-221300387189;1;Prem.;R$ 3.753,30;5699.0;null;4;178144.30;558.96;Agente;Sim;0.085;Pix
IND-221300470485;4;Basica;1236.49;428.0;2025/3/30;1;R$149.329,22;711.11;Telefone;1;0.166;CC
IND-221302392752;5;BASICA;R$ 1.717,45;879.0;2024-01-04;1;136360.4;R$ 984,97;Agente;S;0.206;Debito_Auto
IND-221302364846;4;Básica;1044.20;30.0;?;1;136.873,99;1094.96;Indicacao;OK;0.184;Cartao_Credito
IND-221300591266;4;Padrao;1.197,53;1052.0;15/07/2023;1;126841.33;R$1.104,29;Agente  ;N/A;0.158;DEB AUTO
IND-221300656875;3;Basic;1612.98;1100.0;2023/5/28;1;-;1.601,79;  ;0;0.157;Boleto
IND-221301663623;2;PREMIUM;R$ 1.446,94;1699.0;06 Oct 2021;2;151381.53;1225.25;Indicacao;NA;0.087;BOL
IND-221300256501;2;Padrão;R$ 1.399,51;30.0;NULL;2;R$ 130.653,45;1.039,49;Telefone;1;0.065;Cartao_Credito
IND-221302047581;1;premium;R$ 1.124,52;4097.0;2015/3/14;4;161.478,27;1.215,73;Agente;1;0.053;Cartão
IND-221303110270;2;Basic;1.206,68;2016.0;2020/11/23;2;151909.97;1160.02;Agente;Sim;0.089;Boleto
IND-221302624735;2;Padrao;1.198,20;5571.0;2011-03-01;2;117087.74;R$ 1.266;  ;OK;0.072;Debito Automatico
IND-221300285769;1;Prem.;#N/D;3434.0;05 Jan 2017;4;163.807,79;R$ 1.046,86; Agente;OK;0.034;pix
IND-221300768209;2;PREMIUM;R$ 1.177,10;2796.0;2018-10-05;2;191.836,92;R$ 588,35;  Digital;OK;0.065;Cartao
IND-221303176242;4;BASICA;1277.80;3943.0;2015/8/15;1;130.910,51;941.48;Telefone;1;0.166;Debito_Auto
IND-221301862417;3;Std;R$1.026,47;2440.0;09-26-2019;-;#N/D;925.72;Indicacao;OK;0.127;Debito Automatico
IND-221302510441;1;padrao;R$ 1.301,69;1625.0;12-19-2021;5;R$810.661,72;688.79;Telefone;OK;0.0;Debito Automatico
IND-221300892302;4;Basic;R$ 1.890,22;1651.0;23/11/2021;1;103.822,13;R$ 1.096;Agente;Sim;0.168;Boleto
IND-221302037416;4;Básica;R$1.165,55;2757.0;11-13-2018;1;140567.76;R$ 1.171;Agente;Sim;0.142;NA
IND-221302945199;1;Prem.;R$ 1.174,41;3991.0;28/06/2015;4;R$ 177.398,41;R$ 646;Indicacao;OK;0.056;BOL
IND-221301904275;4;PADRAO;1204.15;2108.0;08-23-2020;1;R$ 138.073,15;R$ 1.140,22;;S;0.181;Debito Automatico
IND-221303134045;4;BASICA;R$1.020,89;1285.0;24/11/2022;1;R$ 146.964,24;R$ 831,60;Agente;S;-;Cartão
IND-221300100398;?;premium;R$1.387,26;2377.0;2019-11-28;5;130486.09;1.156,42;NA;1;#N/D;CC
IND-221300309521;1;N/A;R$ 816,21;5071.0;2012-07-13;3;R$ 168.281,86;647.54;  Telefone;OK;0.03;DEB AUTO
IND-221300111958;5;NA;1966.24;1576.0;02-06-2022;1;R$ 130.314,49;R$ 2.157,14;Telefone;Em dia;0.196;Boleto Bancario
IND-221300498950;3;Padrão;R$1.268,08;30.0;2026/5/2;1;367.332,00;R$ 910,48;Digital;Em dia;0.137;debito
IND-221300700262;4;PADRAO;1158.97;716.0;15/06/2024;1;R$ 122.560,29;R$ 702,14;Telefone;1;0.194;Cartão
IND-221302757193;1;Prem.;1.295,39;4464.0;2014/3/12;4;R$ 176.857,56;1532.18;Agente;1;0.011;Debito_Auto
IND-221301305959;1;Padrão;R$ 1.159,80;4803.0;07 Apr 2013;4;R$ 186.371,22;R$ 492;Indicacao;OK;0.005;Pix
IND-221300451004;1;Básica;1.526,38;1255.0;24 Dec 2022;5;-;1536.79;  Telefone;S;0.062;Boleto
IND-221303182960;1;PREMIUM;R$ 3.692,49;4192.0;09/12/2014;4;R$ 141.384,86;R$ 1.447,92;Digital;Em dia;0.017;Boleto Bancario
IND-221300862468;3;padrao;R$ 1.883,37;1611.0;  ;2;R$ 167.571,31;948,17;N/A;S;0.147;Debito_Auto
IND-221300934194;1;basica;572,96;2711.0;29 Dec 2018;2;160552.25;278,14;Indicacao;Em dia;0.078;DEB AUTO
IND-221300574614;4;PREMIUM;R$ 1.111,38;NA;2022/11/11;1;R$ 112.762,53;R$ 582,81;Telefone ;null;0.135;Cartão
IND-221301174160;4;basica;R$ 1.124,31;1262.0;17/12/2022;1;148.814,48;R$ 1.260,19;Digital;Sim;0.1;Debito Automatico
IND-221301918686; ;Padrao;R$ 1.326,29;748.0;05-14-2024;1;R$ 104.580,57;1206.51;Agente ;S;0.12;DEB AUTO
IND-221301838291;3;Padrão;R$1.388,40;2061.0;09/10/2020;1;R$106.467,03;R$ 1.500,43;Digital;0;  ;Cartao
IND-221300153849;1;BASICA;R$ 1.252,18;  ;17/11/2020;5;132.983,58;766,93;Indicacao;OK;0.028;Debito_Auto
IND-221302493137;-;padrao;1061.76;3956.0;08-02-2015;2;184451.6;463,82;Agente;S;0.055;Debito Automatico
IND-221302849613;4;Padrão;1130.83;3831.0;2015/12/5;1;R$ 140.606,92;R$ 720,86;Telefone;S;0.176;Pix
IND-221300907776;2;padrao;1513.82;2827.0;2018-09-04;2;155600.19;930,24;  Telefone;Em dia;0.076;Cartão
IND-221301553452;4;Std;1.297,60;675.0;26 Jul 2024;1;136.771,12;R$ 899;Agente;Em dia;0.133;Cartão
IND-221302824820;4;basica;1.355,37;2755.0;11-15-2018;1;140097.49;1476.71;Digital  ;Sim;0.16;CC
IND-221302409774;2;BASICA;911.01;2290.0;2020/2/23;1;R$ 75.390;776,33;Digital;S;0.125; 
IND-221302424992;4;Básica;R$ 1.445,79;1280.0;11-29-2022;1;129426.33; ;Agente;Em dia;0.173;Debito Automatico
IND-221300298245;5;Prem.;R$ 1.449,06;3736.0;09 Mar 2016;1;R$ 107.970,49;1.303,77;Agente;Sim;0.199;DEB AUTO
IND-221301231280;2;Padrao;R$1.080,51;2153.0;2020/7/9;2;R$ 110.065;636,22;Agente ;1;0.071;Pix
IND-221302101653;1;Premium;1.464,47;2344.0;2019-12-31;5;R$ 152.600,28;1674.85;Digital;OK;0.044;Pix
IND-221300389040;4;padrao;R$ 1.169,48;#N/D;2021-03-26;1;R$ 123.020,95;R$ 950;Telefone;Sim;0.147;Cartao_Credito
IND-221301776396;1;PREMIUM;R$ 1.603,55;3017.0;2018/2/26;5;148236.49;1544.62;Telefone;Sim;0.052;Debito_Auto
IND-221301333718;4;PADRAO;R$1.343,56;735.0;NULL;1;129319.76;R$ 684;Agente;1;0.135;Debito Automatico
IND-221300776399;1;Básica;1266.0;2790.0;NA;6;-;R$ 1.159,36;Indicacao;S;0.026;Debito_Auto
IND-221300819837;2;padrao;R$ 1.052,38;30.0;2026-05-02;2;146264.95;553.40;Indicacao;0;0.062;Debito Automatico
IND-221302550211;1;premium;R$ 1.452,59;2693.0;16 Jan 2019;5;185072.05;1052.87;Indicacao  ;Sim;0.024;Cartao
IND-221300366119;5;PADRAO;R$ 1.873,62;846.0;2024/2/6;1;133168.27;R$ 1.383; Agente;Sim;0.206;PIX
IND-221302107844;4;BASICA;1387.49;426.0;04-01-2025;1;R$ 99.972,02;R$ 1.451,41;Agente;Sim;0.187;Cartão
IND-221301440757;1;Prem.;5155.950000000001;5531.0;2011-04-10;5;153428.63;R$ 1.008;Digital;OK;0.059;BOL
IND-221300432265;2;Padrão;R$ 1.515,01;2709.0;2018-12-31;2;R$124.729,23;R$1.341,02;  ;1;0.061;Boleto Bancario
IND-221302553679;3;Padrão;1613.98;3626.0;27/06/2016;2;R$ 135.724,63;R$ 1.531,98;Digital;OK;0.124;?
IND-221301441093;1;padrao;R$1.150,31;6939.0;06-02-2007;4;139851.24;971.35;Agente;Sim;0.021;Cartao
IND-221300144656;1;Std;1111.01;3970.0;2015/7/19;3;155976.88;R$ 1.041;Agente;1;0.08;BOL
IND-221303080576;1;Plus;R$ 1.411;3344.0;2017-04-05;4;R$100.941,68;R$640,05;Telefone;OK;0.042;BOL
IND-221300172175;1;Padrao;R$1.172,89;4054.0;2015-04-26;5;178.032,43;1122.87;Telefone;S;0.053;DEB AUTO
IND-221301063451;2;Prem.;R$ 1.232,39;4672.0;;3;R$206.908,32;R$493,26;Digital;S;0.112;Pix
IND-221301578555;4;basica;R$ 1.216,88;3614.0;07-09-2016;1;143304.19;1.127,12;Agente;OK;0.171;DEB AUTO
IND-221301899223;4;Padrão;1.138,76;2477.0;2019/8/20;1;131469.16;R$858,53;Agente;1;0.2;Cartao
IND-221302913780;4;Basica;1424.48;3162.0;2017-10-04;1;R$ 121.503,95;R$ 687;Agente;OK;0.139;pix
IND-221301809793;null;PREMIUM;R$1.425,37;3104.0;01 Dec 2017;5;  ;1437.61; Agente;S;0.007;PIX
IND-221300315553;1;padrao; ;2496.0;01/08/2019;5;R$187.860,79;1085.23;Agente;1;0.049;Cartao_Credito
IND-221301776372;2;Basica;801.53;281.0;2025-08-24;1;R$391.295,16;675.47;Digital;OK;0.076;Boleto
IND-221300924486;4;Std;1249.31;30.0;2026-05-02;1;R$ 124.634,53;R$ 907,47;Digital;-;0.154;Cartao
IND-221302304008;3;Basica;R$ 1.629,66;1088.0;09/06/2023;1;109.751,69;R$ 904,58;Agente;Sim;0.088;Debito Automatico
IND-221300384355;2;Premium;3165.14;4203.0;null;5;142005.76;R$ 2.060,47;Indicacao;Em dia;0.077;Boleto
IND-221301624523;4;BASICA;R$1.151,99;1401.0;2022-07-31;1;R$127.679,10;R$ 633;Agente;1;0.153;Debito_Auto
IND-221302641342;4;padrao;1198.99;510.0;2025-01-07;1;179868.36;1343.7;Telefone;Em dia;0.158;Boleto Bancario
IND-221303029334;2;Padrão;1443.39;1561.0;02-21-2022;2;R$ 159.514;R$ 1.532,90;Agente ;OK;0.064;Boleto Bancario
IND-221301873077;1;Plus;R$ 1.140;2392.0;13 Nov 2019;3;R$ 162.761,52;639.49;Agente;S;0.068;debito
IND-221301204335;3;Padrao;R$ 1.382;3237.0;2017-07-21;2;115080.0;R$806,83;Digital;Sim;0.114;Debito Automatico
IND-221302845017;1;Premium;992.84;4741.0;08 Jun 2013;4;146350.34;?; Digital;OK;0.046;Debito Automatico
IND-221301977197;1;Plus;R$950,01;3033.0;02-10-2018;4;172602.79;R$ 870,30; Agente;S;0.065;debito
IND-221300538874;1;PREMIUM;R$964,25;1354.0;09-16-2022;5;R$ 182.503,41;974.37;Telefone;1;0.027;BOL
IND-221301543998;1;;R$1.297,54;4033.0;17/05/2015;6;170560.51;R$ 1.058,68;Digital;NA;0.031;DEB AUTO
IND-221302992455;1;PREMIUM;null;5682.0;2010-11-10;4;R$ 201.765,47;R$1.424,70;Digital ;Nao;0.06;DEB AUTO
IND-221301845195;2;Básica;1141.42;1775.0;07-22-2021;1;72.557,04;817.49;Agente;Em dia;0.068;BOL
IND-221303135537;2;padrao;R$ 958;1786.0;07-11-2021;3;R$ 162.635,97;685.26;Agente;OK;0.073;Cartao_Credito
